"","X1.x","id.x","id2.x","county","gini","margin_error.x","year","med_house","avg_house","X1.y","id.y","id2.y","median_age","margin_error.y","median_age_male","me_m","median_age_female","me_f","total_pop","blue_prop","white_prop","business","civil_servant","healthcare","production","service","tech","class_diff","tech_biz","mult","wash","clack","med_housing_change","avg_housing_change"
"12",8,"0500000US41051",41051,"Multnomah",0.479,0.011,2010,402100,459135.646766169,8,"0500000US41051",41051,35.8,0.2,35.4,0.2,36.3,0.3,359931,0.455829033898164,0.480475424456354,0.186302374621803,0.00874612078426143,0.0844967507661191,0.215819143113541,0.287066132119767,0.0512626031100405,-0.02464639055819,0.237564977731843,1,0,0,14585,NA
"13",11,"0500000US41051",41051,"Multnomah",0.4844,0.0159,2011,404470,464777.147391391,11,"0500000US41051",41051,35.8,0.2,35.5,0.2,36.3,0.3,375736,0.478977260629804,0.464142376562267,0.190130836544808,0.0102891391828305,0.0734797836779015,0.205064194008559,0.30688302425107,0.0525155960568058,0.014834884067537,0.242646432601614,1,0,0,2370,5641.50062522141
"14",14,"0500000US41051",41051,"Multnomah",0.4716,0.011,2012,415085,473417.931502716,14,"0500000US41051",41051,36.4,0.2,35.9,0.2,36.9,0.2,383034,0.465303341217751,0.473331349175269,0.182015173587723,0.0111765535174423,0.0796247852671042,0.209615856555815,0.301837434796911,0.0555381506602547,-0.00802800795751796,0.237553324247978,1,0,0,10615,8640.78411132516
"15",17,"0500000US41051",41051,"Multnomah",0.484,0.0103,2013,413460,476145.974984365,17,"0500000US41051",41051,36.5,0.2,36,0.2,37.3,0.4,388842,0.450280576686675,0.490420273530123,0.190663560006378,0.0115471065368453,0.0852119884168891,0.21549112492992,0.279594282510634,0.0574089218757233,-0.040139696843448,0.248072481882101,1,0,0,-1625,2728.04348164948
"16",20,"0500000US41051",41051,"Multnomah",0.4952,0.0126,2014,407040,466261.097437055,20,"0500000US41051",41051,36.8,0.3,36.4,0.3,37.3,0.3,403159,0.456388174392733,0.488541741595748,0.203554924979971,0.0109014061449701,0.0765578841102394,0.205139907579888,0.282828859085373,0.0572999734596028,-0.032153567203015,0.260854898439574,1,0,0,-6420,-9884.87754730979
"17",23,"0500000US41051",41051,"Multnomah",0.4746,0.0118,2015,385990,446674.618175383,23,"0500000US41051",41051,36.8,0.2,36.6,0.3,37,0.3,419701,0.453894558268863,0.496324764534752,0.199492019318515,0.00957109942554342,0.0824134324197464,0.208774818263478,0.294659769693186,0.0594661437547206,-0.042430206265889,0.258958163073236,1,0,0,NA,NA
"18",26,"0500000US41051",41051,"Multnomah",0.4743,0.0104,2016,374550,434451.889250814,26,"0500000US41051",41051,36.8,0.2,36.5,0.3,37,0.3,432900,0.417336567336567,0.521312081312081,0.206278586278586,0.0084984984984985,0.0791221991221991,0.216033726033726,0.262857472857473,0.0715800415800416,-0.103975513975514,0.277858627858628,1,0,0,-11440,-12222.7289245684
"19",3,"0500000US41067",41067,"Washington",0.412,0.014,2008,374715,409816.187345933,3,"0500000US41067",41067,35.9,0.3,35,0.2,36.8,0.3,273166,0.437265252630269,0.519643733114663,0.244990225723553,0.0309335715279354,0.0701551437587401,0.156249313604182,0.270271556489461,0.104002694332384,-0.0823784804843941,0.348992920055937,0,1,0,-4165,-3031.44270655641
"20",6,"0500000US41067",41067,"Washington",0.416,0.011,2009,372550,408784.744639376,6,"0500000US41067",41067,34.9,0.1,34.3,0.3,35.7,0.3,262163,0.442930543211666,0.512639083318393,0.244176333044709,0.0373164786792949,0.060908671322803,0.158794337873766,0.269279036324729,0.101963282385386,-0.0697085401067271,0.346139615430095,0,1,0,-2165,-1031.44270655641
"21",9,"0500000US41067",41067,"Washington",0.414,0.012,2010,380980,417560.021201413,9,"0500000US41067",41067,35.3,0.1,34.6,0.2,36.3,0.3,255515,0.446783946147976,0.485212218460756,0.216550887423439,0.0126724458446667,0.0694479776138387,0.165137076101207,0.287110345772264,0.0901082128250788,-0.03842827231278,0.306659100248518,0,1,0,8430,8775.27656203718
"22",12,"0500000US41067",41067,"Washington",0.4444,0.0197,2011,381825,420824.399477807,12,"0500000US41067",41067,35.5,0.1,34.7,0.2,36.1,0.4,266036,0.463384654708385,0.467628441263588,0.211685636530394,0.0100625479258446,0.0636041738712054,0.161605948067179,0.285096753822791,0.0992158955930776,-0.00424378655520297,0.310901532123472,0,1,0,845,3264.3782763934
"23",15,"0500000US41067",41067,"Washington",0.4213,0.0134,2012,387875,422100.742884708,15,"0500000US41067",41067,35.9,0.2,34.8,0.2,37,0.4,267857,0.443725569986971,0.496526131480603,0.229174522226412,0.0120885397805546,0.0710043045356291,0.156609683525165,0.271058811231366,0.0992507196003838,-0.052800561493632,0.328425241826796,0,1,0,6050,1276.34340690135
"24",18,"0500000US41067",41067,"Washington",0.4206,0.0116,2013,380770,413474.49213691,18,"0500000US41067",41067,36,0.3,35.3,0.2,36.8,0.4,276940,0.445551382971041,0.491568570809562,0.20952552899545,0.0140427529428757,0.0673936592763776,0.17977901350473,0.273550227486098,0.107304831371416,-0.046017187838521,0.316830360366866,0,1,0,-7105,-8626.25074779789
"25",21,"0500000US41067",41067,"Washington",0.4323,0.0146,2014,378190,405450.724063995,21,"0500000US41067",41067,36.3,0.2,35.4,0.2,37.4,0.4,279478,0.450922791776097,0.490231789264271,0.215533959739228,0.015221233871718,0.063146294162689,0.148000915993388,0.282290555965049,0.112037441229721,-0.039308997488174,0.327571400968949,0,1,0,-2580,-8023.76807291555
"26",24,"0500000US41067",41067,"Washington",0.4354,0.0121,2015,371550,401273.255255255,24,"0500000US41067",41067,36.5,0.3,35.7,0.2,37.3,0.4,288228,0.438531301608449,0.505918925295252,0.226816964347669,0.0117060105194499,0.0757837545276656,0.1483062020345,0.284920271451767,0.111900995045589,-0.067387623686803,0.338717959393258,0,1,0,-6640,-4177.46880873945
"27",27,"0500000US41067",41067,"Washington",0.4209,0.0103,2016,376265,404729.588427948,27,"0500000US41067",41067,36.6,0.2,35.9,0.3,37.4,0.4,303993,0.437046247775442,0.505320846203695,0.225097288424405,0.00753964729451007,0.0684621027457869,0.164395232784965,0.279884734187958,0.104206346856671,-0.068274598428253,0.329303635281076,0,1,0,4715,3456.33317269234
